ID,Scanner,Volume,Area,3D_model
CTC_1,Artec.Spider,22491.4,5305.13,TRUE
CTC_10,Artec.Spider,4184.02,1628.96,TRUE
CTC_100,Artec.Spider,10913.76,2761.13,TRUE
CTC_1000,Artec.Spider,7064.75,2514.46,TRUE
CTC_1002,Artec.Spider,3383.35,1702.22,TRUE
CTC_1003,Artec.Spider,2679.1,1491.73,TRUE
CTC_1004,Artec.Spider,270.1,284.75,TRUE
CTC_1006,Artec.Spider,7712.54,2629.17,TRUE
CTC_1007,Artec.Spider,4435.96,2172.98,TRUE
CTC_1008,Artec.Spider,11304.57,3395.87,TRUE
CTC_1009,Artec.Spider,18362.89,4782.81,TRUE
CTC_101,Artec.Spider,5374.57,1953.65,TRUE
CTC_1010,Artec.Spider,12236.49,3452.59,TRUE
CTC_1011,Artec.Spider,3567.25,2024,TRUE
CTC_1013,Artec.Micro,54.16,144.29,TRUE
CTC_1014,Artec.Spider,6100.74,2859.44,TRUE
CTC_1015,Artec.Spider,4320.74,1775.08,TRUE
CTC_1016,Artec.Spider,1439.8,1301.68,TRUE
CTC_1018,Artec.Spider,7055.39,2593.5,TRUE
CTC_1019,Artec.Spider,1251.71,973.87,TRUE
CTC_102,Artec.Spider,1201.58,977.01,TRUE
CTC_1020,Artec.Spider,2033.6,1251.48,TRUE
CTC_1022,Artec.Micro,41.09,121.56,TRUE
CTC_1023,Artec.Spider,2208.69,1144.72,TRUE
CTC_1024,Artec.Spider,2091.12,1173.2,TRUE
CTC_1025,Artec.Micro,98.99,179.12,TRUE
CTC_1026,Artec.Spider,2348.56,1305.23,TRUE
CTC_103,Artec.Spider,7575.93,2496.92,TRUE
CTC_1034,Artec.Micro,12.65,41.63,TRUE
CTC_1035,Artec.Micro,71.43,153.52,TRUE
CTC_104,Artec.Spider,84400.86,13165.47,TRUE
CTC_105,Artec.Spider,3618.94,1643.89,TRUE
CTC_1054,Artec.Micro,247.56,276.86,TRUE
CTC_1055,Artec.Micro,70.16,167.56,TRUE
CTC_1056,Artec.Micro,55.45,174.99,TRUE
CTC_1057,Artec.Micro,111.73,219.72,TRUE
CTC_1058,Artec.Micro,21.72,69.24,TRUE
CTC_1060,Artec.Micro,72.6,174.98,TRUE
CTC_1061,Artec.Micro,16.62,64.76,TRUE
CTC_1067,Artec.Micro,111.12,197.5,TRUE
CTC_1071,Artec.Micro,226.35,383.23,TRUE
CTC_1088,Artec.Spider,5577.26,2133.8,TRUE
CTC_1089,Artec.Spider,1737.91,1061.89,TRUE
