ID,Layer,Raw_material,Fire,Patina,Cortex,Cortex_position,Class,Blank,Blank_extended,Blank_technology,Technology,Bipolar_blank,Preservation,Length,Width,Thickness,Elongation,Robustness,Platform_width,Platform_thickness,Platform_ratio,Platform_type,Platform_shape,Dorsal_thinning,Bulbar_scars,Bulb,Bulb_type,Lip,Lip_type,Curvature,Torsion,Torsion_simplified,Off.axis,Section,Blank_shape,Scar_pattern,Scar_pattern_2,Distal_end,Plunging,Bladelet_negatives,Typology_simplified,Typology,Retouch_position,Dorsal_ret_localization,Ventral_ret_localization,Retouch_left_right,Retouch_uni_bilateral,Retouch_length
CTC_1,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,59.5,36.09999847,26.70000076,1.648199516,1.352059829,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_2,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,42.20000076,25.70000076,15.89999962,1.642023327,1.616352288,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_3,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,36.5,32.59999847,11.80000019,1.119631954,2.76271169,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_4,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,31.70000076,27.79999924,18.5,1.140287829,1.502702661,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_5,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,47.09999847,22.39999962,48.09999847,2.102678539,0.465696473,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_6,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,37.90000153,28.39999962,20.60000038,1.334507114,1.378640733,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_7,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,29.79999924,26.70000076,16,1.116104808,1.668750048,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_8,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,17.5,25.79999924,20,0.678294594,1.289999962,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_9,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,27.89999962,13.80000019,25,2.021739075,0.552000008,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_10,rsa',Fine-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,31.60000038,17.20000076,18.10000038,1.837209243,0.950276265,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_11,rsa',Coarse-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,39,45.79999924,37,0.851528398,1.237837817,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_12,rsa',Coarse-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,39.09999847,46.20000076,25.20000076,0.846320299,1.833333308,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_13,rsa',Fine-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,36.20000076,41.79999924,37.29999924,0.866028742,1.120643434,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_14,rsa',Fine-grained chert,TRUE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,30.60000038,34.5,22.10000038,0.886956533,1.561085946,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_15,rsa',Fine-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,31.39999962,33,40.20000076,0.95151514,0.820895507,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_16,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,21.20000076,31.5,27.70000076,0.673015897,1.137184084,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_17,rsa',Fine-grained chert,FALSE,TRUE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,48.59999847,43.09999847,23.60000038,1.127610213,1.826271092,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_18,rsa',Coarse-grained chert,FALSE,TRUE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,50.20000076,39.90000153,34.59999847,1.258145334,1.153179286,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_19,rsa',Fine-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,42.90000153,46.09999847,26.70000076,0.930585747,1.726591654,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_20,gic,Fine-grained chert,FALSE,TRUE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,59.09999847,53.59999847,26.5,1.102611943,2.022641452,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_21,rsa',Fine-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,25.10000038,33.40000153,15.5,0.751496983,2.154838808,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_22,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,31.70000076,31.29999924,19.10000038,1.012779602,1.638743383,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_23,rsa',Fine-grained chert,FALSE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,32.90000153,22.60000038,20,1.455752255,1.130000019,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_24,rsa',Fine-grained chert,TRUE,FALSE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,24,22.70000076,19.20000076,1.057268687,1.182291659,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_25,rsa',Fine-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,35.59999847,42.40000153,33.79999924,0.839622575,1.254437943,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_26,rsa',Fine-grained chert,FALSE,FALSE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,43.20000076,41.09999847,23.5,1.051094948,1.748936105,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_27,rsa',Fine-grained chert,TRUE,TRUE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,35.20000076,21.79999924,18,1.614678991,1.211111069,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_28,rsa',Fine-grained chert,FALSE,TRUE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,26.5,18.60000038,28.89999962,1.424731154,0.643598638,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_29,rsa',Quartzite,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,23.70000076,18.20000076,26.5,1.30219779,0.686792482,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_30,rsa',Fine-grained chert,FALSE,FALSE,66-99%,NA,Core,Other,Other,NA,Other,FALSE,NA,38.09999847,57.40000153,47.70000076,0.663763022,1.20335431,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_31,rsa',Fine-grained chert,FALSE,FALSE,66-99%,NA,Core,Other,Other,NA,Other,FALSE,NA,32.09999847,47.79999924,41.90000153,0.671548096,1.140811396,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_32,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,31.89999962,45.90000153,29.60000038,0.694989075,1.550675707,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_33,rsa',Fine-grained chert,FALSE,TRUE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,53.59999847,33.79999924,19.39999962,1.585798807,1.742268036,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_34,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,48.59999847,41.09999847,26.20000076,1.182481759,1.568702186,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_35,rsa',Fine-grained chert,FALSE,TRUE,33-66%,NA,Core,Other,Other,NA,Other,FALSE,NA,26.20000076,27.60000038,20.39999962,0.949275377,1.35294122,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_36,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,28.5,35.29999924,19.10000038,0.807365457,1.848167462,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_37,rsa',Fine-grained chert,FALSE,TRUE,0%,NA,Core,Other,Other,NA,Other,FALSE,NA,49.79999924,40.59999847,31.20000076,1.226601013,1.301281971,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
CTC_38,rsa',Fine-grained chert,FALSE,FALSE,1-33%,NA,Core,Other,Other,NA,Other,FALSE,NA,30.10000038,43.90000153,31.20000076,0.685649188,1.407051297,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
