ID,Layer,Class,Raw_material,Cortex,Core_type,Laminar_y_n,Carinated_y_n,Core_classification,Core_classification_2,Core_blank,Platf_nr,Blank_production,Bipolar_core,Strik_plat,Strik_plat_2,Flaking_surface,Reduction_pattern,Typology_new,Volume,Area,Length,Width,Thickness,angle_1,angle_2,angle_3,mean_angle,flak_surf_length,flak_surf_length_2,last_rem_blank,length_last_rem,width_last_rem,Ratio_fsl_thick,Ratio_fsl_width,Ratio_l_t,Ratio_l_w,Ratio_w_t,X3D_model
CTC_1,rsa',Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Block,1,Blade-Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,22491.4,5305.13,59.5,36.09999847,26.70000076,53,69,65,62.33333333,59.29999924,NA,Bladelet,37.79999924,11.69999981,2.220973691,1.642659328,2.228464356,1.648199516,1.352059829,TRUE
CTC_2,rsa',Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Undetermined,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,7739.2,2531.28,42.20000076,25.70000076,15.89999962,82,74,67,74.33333333,38.59999847,NA,Bladelet,22.20000076,9.600000381,2.427672918,1.501945421,2.654088162,1.642023327,1.616352288,TRUE
CTC_3,rsa',Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Wide-faced flat,Wide-faced flat,Block,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,5685.07,2436.86,36.5,32.59999847,11.80000019,64,67,71,67.33333333,36.29999924,NA,Bladelet,23.20000076,8.300000191,3.076271072,1.113496961,3.093220289,1.119631954,2.76271169,TRUE
CTC_4,rsa',Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Undetermined,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,8674.84,2441.29,31.70000076,27.79999924,18.5,69,64,80,71,28.39999962,NA,Bladelet,26.5,10.60000038,1.535135115,1.021582748,1.713513555,1.140287829,1.502702661,TRUE
CTC_5,rsa',Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Narrow-sided,Narrow-sided,Block,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,18245.88,4387.41,47.09999847,22.39999962,48.09999847,87,69,77,77.66666667,37,NA,Bladelet,31.5,10,0.769230794,1.651785742,0.979209979,2.102678539,0.465696473,TRUE
CTC_6,rsa',Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Undetermined,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,5449.3,2048.64,37.90000153,28.39999962,20.60000038,84,70,72,75.33333333,34.1,NA,Bladelet,20.70000076,8.100000381,1.655339775,1.200704241,1.839805865,1.334507114,1.378640733,TRUE
CTC_7,rsa',Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Pebble,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Convergent,NA,5154.46,1856.56,29.79999924,26.70000076,16,67,69,71,69,37.70000076,NA,Bladelet,27,7.900000095,2.356250048,1.411985007,1.862499952,1.116104808,1.668750048,TRUE
CTC_8,rsa',Core,Fine-grained chert,0%,Shatter laminar,TRUE,FALSE,Semi-circumferential,Shatter,Undetermined,1,Bladelet,FALSE,Undetermined,NA,Unidirectional,Sub-parallel,NA,3143.5,1433.66,17.5,25.79999924,20,NA,NA,NA,0,NA,NA,Undetermined,NA,NA,NA,NA,0.875,0.678294594,1.289999962,TRUE
CTC_9,rsa',Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Multi-platform,Multi-platform,Core fragment,2,Bladelet,FALSE,Reshaped,Reshaped,Bidirectional,Convergent,NA,2848.42,1293.69,27.89999962,13.80000019,25,69,72,67,69.33333333,27.5,NA,Bladelet,21,7,1.1,1.992753596,1.115999985,2.021739075,0.552000008,TRUE
CTC_10,rsa',Core,Fine-grained chert,33-66%,Platform laminar,TRUE,FALSE,Multi-platform,Multi-platform,Pebble,2,Bladelet,FALSE,Reshaped,Reshaped,Bidirectional,Convergent,NA,4184.02,1628.96,31.60000038,17.20000076,18.10000038,73,87,72,77.33333333,27.5,NA,Bladelet,24.70000076,7.400000095,1.519336985,1.598837138,1.745856338,1.837209243,0.950276265,TRUE
